Eppchs,Batch_Size,NumberOfChannels,Filters,Learning_Rate,MSE,PearsonCorrelation,IsBestModel
70,32,3,64,3,0.01,0.0017995291264467316,0.9561190715307061, False
70,32,3,100,3,0.01,0.0007848637459619633,0.9816826045208956, False
70,32,4,25,3,0.01,0.00035374360286223854,0.9914613173830716, False
70,32,4,64,3,0.01,0.00032123758865145477,0.993331397917046, False
70,32,4,100,3,0.01,0.00022766872902471656,0.9941584349534989, False
70,32,5,25,3,0.01,0.000491238657705732,0.9927199071066843, False
70,32,5,64,3,0.01,0.00016849086641751858,0.9962127182162264, False
70,32,5,100,3,0.01,0.0001395154897123257,0.9962080972909493, True
70,32,6,25,3,0.01,0.00017604724224225295,0.9955791835480496, False
70,32,6,64,3,0.01,0.00017121502851592566,0.9965211650594378, False
70,32,6,100,3,0.01,0.00010233124728613933,0.9973658491003199, True
70,32,7,25,3,0.01,0.00014029593345639402,0.9964073128221814, False
70,32,7,64,3,0.01,0.00014268582020040993,0.9964070335388676, False
70,32,7,100,3,0.01,0.00010078145468420813,0.9974234817267786, True
70,32,8,25,3,0.01,0.0002908729737886089,0.9968363497456707, False
70,32,8,64,3,0.01,0.00015567668352345498,0.9966819046129294, False
70,32,8,100,3,0.01,0.00016429596835659867,0.9966759891537653, False
70,32,2,25,3,0.1,0.0036165736694862764,0.9100405478327768, False
70,32,2,64,3,0.1,0.0029274745525864946,0.9424025832591713, False
70,32,2,100,3,0.1,0.003281109696065427,0.9113156129919424, False
70,32,3,25,3,0.1,0.003690889284050957,0.9100494698498492, False
70,32,3,64,3,0.1,0.0019575898528776028,0.9447173182222448, False
70,32,3,100,3,0.1,0.0025670298436135434,0.9362557996330503, False
70,32,4,25,3,0.1,0.0024837687449435287,0.9373328127543533, False
70,32,4,64,3,0.1,0.002344378127493014,0.9393169265369007, False
70,32,4,100,3,0.1,0.0019499064471501103,0.9464168724018412, False
70,32,5,25,3,0.1,0.0010051967896004335,0.9794412220985304, False
70,32,5,64,3,0.1,0.0011651028882857014,0.9694874512258206, False
70,32,5,100,3,0.1,0.0024310295428480915,0.9463456335657066, False
70,32,6,25,3,0.1,0.0009736468527217636,0.9739661163706634, False
70,32,6,64,3,0.1,0.0017952416153383458,0.9512417178001161, False
70,32,6,100,3,0.1,0.0009989004255225925,0.9794058748966556, False
70,32,7,25,3,0.1,0.0015848079256618834,0.9836458899215222, False
70,32,7,64,3,0.1,0.00041967558511244645,0.9891183304950248, False
70,32,7,100,3,0.1,0.0005988887616273443,0.9856035681579486, False
70,32,8,25,3,0.1,0.002523949261201227,0.9855692679111011, False
70,32,8,64,3,0.1,0.0007859167093310817,0.9781337888012724, False
70,32,8,100,3,0.1,0.0018707541939828737,0.9477821120255672, False
200,32,2,25,3,0.0005,0.0020036940113153773,0.945455468979684, False
200,32,2,64,3,0.0005,0.0018541040562339082,0.9487635118154458, False
200,32,2,100,3,0.0005,0.0026598434271083954,0.9444009501752304, False
200,32,3,25,3,0.0005,0.0010663493461838544,0.9722537316464178, False
200,32,3,64,3,0.0005,0.000935744070534421,0.974562110933789, False
200,32,3,100,3,0.0005,0.000963384805949256,0.9755410855028293, False
200,32,4,25,3,0.0005,0.0005447110583897405,0.985145362532754, False
200,32,4,64,3,0.0005,0.0004988220555140815,0.9860274151470769, False
200,32,4,100,3,0.0005,0.0008233966623003111,0.9862451344342225, False
200,32,5,25,3,0.0005,0.00043719516311970305,0.9924053361213954, False
200,32,5,64,3,0.0005,0.000370779425801985,0.9925707692672973, False
200,32,5,100,3,0.0005,0.00023434076588085297,0.9941724270957735, False
200,32,6,25,3,0.0005,0.000281603012191125,0.9962581109831518, False
200,32,6,64,3,0.0005,0.000291203168692694,0.9959804734255813, False
200,32,6,100,3,0.0005,0.00019932318329796413,0.9966447970897269, False
200,32,7,25,3,0.0005,0.0003764585636887495,0.9961868121442318, False
200,32,7,64,3,0.0005,0.00021996617013536802,0.9969865736543803, False
200,32,7,100,3,0.0005,0.0006401448073678274,0.9972365670801803, False
200,32,8,25,3,0.0005,0.0003518190554175883,0.9970605081275309, False
200,32,8,64,3,0.0005,0.00011265242948972328,0.9974989194026281, False
200,32,8,100,3,0.0005,0.0002986193189850493,0.9973252868976793, False
200,32,2,25,3,0.001,0.0018415887724608242,0.9462759255157666, False
200,32,2,64,3,0.001,0.0020408864826513312,0.9486601268758381, False
200,32,2,100,3,0.001,0.0018426692267456614,0.9480262504851548, False
