Model,InitialBudget,Risk_Factor,Smooth_Factor,Leverage,Final_Budget
CNN,200,0.6,8,250,179.4210374355318
CNN,200,0.6,8,300,176.72864496707925
CNN,200,0.6,8,350,173.81985187530506
CNN,200,0.6,8,400,170.29482126235933
CNN,200,0.6,8,450,166.27410948276483
CNN,200,0.6,8,500,161.45856976509046
CNN,200,0.6,9,50,187.73272832234898
CNN,200,0.6,9,100,187.32919692993363
CNN,200,0.6,9,150,186.43937905629667
CNN,200,0.6,9,200,185.330025355023
CNN,200,0.6,9,250,183.8024854660053
CNN,200,0.6,9,300,181.4092477162697
CNN,200,0.6,9,350,178.8236538569151
CNN,200,0.6,9,400,175.69029331207457
CNN,200,0.6,9,450,172.11632728576848
CNN,200,0.6,9,500,167.83584753672483
CNN,200,0.6,10,50,190.8448624610901
CNN,200,0.6,10,100,190.4816842079162
CNN,200,0.6,10,150,189.68084812164295
CNN,200,0.6,10,200,188.6824297904967
CNN,200,0.6,10,250,187.30764389038086
CNN,200,0.6,10,300,185.1537299156189
CNN,200,0.6,10,350,182.82669544219976
CNN,200,0.6,10,400,180.00667095184326
CNN,200,0.6,10,450,176.7901015281676
CNN,200,0.6,10,500,172.93766975402815
CNN,200,0.7000000000000001,1,50,110.70214509963584
CNN,200,0.7000000000000001,1,100,110.98511219024213
CNN,200,0.7000000000000001,1,150,109.9042296409559
CNN,200,0.7000000000000001,1,200,128.74786853789766
CNN,200,0.7000000000000001,1,250,146.9790101051275
